,date,price,description,location,bedrooms,bathrooms,land,floor
667,03/07/2024,Rp6 Miliar,"Kost Jl. Kebantenan Semper Timur, Cilincing, Jakarta Utara","Cilincing, Jakarta Utara",10,10,746 m²,1000 m²
668,03/07/2024,"Rp1,47 Miliar","Town house tanjung barat jakarta selatan Rumah Baru di Jagakarsa, Jakarta Selatan, Jakarta Keamanan 24 Jam Dekat Stasiun","Jagakarsa, Jakarta Selatan",3,3,65 m²,120 m²
669,03/07/2024,"Rp4,5 Miliar","Rumah Sawah Lio Laksa Jembatan Lima, Tambora, Jakarta Barat","Grogol Petamburan, Jakarta Barat",4,3,240 m²,450 m²
670,03/07/2024,Rp3 Miliar,"Rumah Jl. Johar Tugu Utara, Koja, Jakarta Utara","Koja, Jakarta Utara",3,3,200 m²,300 m²
671,03/07/2024,"Rp1,6 Miliar",COCOK UTK KOS2AN DIJUAL RUMAH SECOND LUAS DI TEGAL PARANG MAMPANG JAKARTA SELATAN,"Mampang Prapatan, Jakarta Selatan",7,8,65 m²,130 m²
672,03/07/2024,"Rp3,65 Miliar",Dijual murah rumah siap huni di citra garden 1 kalideres,"Kali Deres, Jakarta Barat",5,4,199 m²,350 m²
673,03/07/2024,"Rp1,6 Miliar",DIJUAL RUMAH SECOND LUAS DI TEGAL PARANG MAMPANG JAKARTA SELATAN,"Mampang Prapatan, Jakarta Selatan",7,8,65 m²,130 m²
674,03/07/2024,"Rp3,5 Miliar","Rumah Cluster Mississipi Jakarta Garden City, Cakung, Jakarta Timur","Cakung, Jakarta Timur",4,3,120 m²,180 m²
675,03/07/2024,"Rp1,6 Miliar",DIJUAL RUMAH GANG SENGGOL 7 KAMAR TIDUR DI TEGAL PARANG MAMPANG JAKARTA SELATAN,"Mampang Prapatan, Jakarta Selatan",7,8,65 m²,130 m²
676,03/07/2024,Rp985 Juta,Cluster cipayung jakarta timur Baru,"Cipayung, Jakarta Timur",3,3,63 m²,72 m²
677,03/07/2024,"Rp13,5 Miliar","Rumah Cempaka Putih Tengah Cempaka Putih, Jakarta Pusat","Cempaka Putih, Jakarta Pusat",4,4,513 m²,271 m²
678,03/07/2024,Rp799 Juta,Di jual rumah siap huni di kali sari pasar rebo Baru,"Pasar Rebo, Jakarta Timur",2,2,48 m²,70 m²
679,03/07/2024,"Rp3,1 Miliar","Rumah Cempaka Putih Indah Cempaka Putih, Jakarta Pusat","Cempaka Putih, Jakarta Pusat",4,3,155 m²,125 m²
680,03/07/2024,"Rp2,9 Miliar",Dijual Rumah di Taman Palem Blok B,"Kali Deres, Jakarta Barat",6,5,90 m²,270 m²
681,03/07/2024,"Rp4,5 Miliar","Rumah Bamboo Premium Residence Lebak Bulus, Cilandak, Jakarta Selatan","Cilandak, Jakarta Selatan",4,3,123 m²,150 m²
682,03/07/2024,"Rp6,3 Miliar","Rumah Janur Elok, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",5,6,153 m²,350 m²
